id,title,translation,number,key,meter,piece_type,appears_in,composer,arranger,publisher,publication_place,copyright_holder,copyright_year,medium,file_name,notes,audio_recording
190,Oberek Ujejski,Oberek from Ujejsce,2600,G major,3/4,oberek,G&V Polish Dance Collection,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1924,print,190_oberek-ujejski_print.pdf,,
191,Oberek w Obie Strony,Oberek in Both Directions,15029,A major,3/4,oberek,,John Sitek,Sta Sobas,,,,,print,191_oberek-w-obie-strony_print.pdf,,
192,Oberek Wesoby,Merry Oberek,6024,G major,3/4,oberek,,,John Schultz,Henry Silberhorn,"Chicago, Ill.",Henry Silberhorn,1907,print,192_oberek-wesoby_print.pdf,,
193,Od Krzaczka do Krzaczka Walc,From Bush to Bush Waltz,15056,D major,3/4,waltz,,,Sta Sobas,John Sitek,,,,pen,193_od-krzaczkado_pen.pdf,,
194,Od Tarnowa,From Tarnow,15002,D major,2/4,polka,,,John Sitek,John Sitek,"Chicago, Ill.",John Sitek,1929,print,194_od-tarnowa_print.pdf,,
195,Od Ucha,From the Ear,,D major,2/4,polka,Polish Dance Album No. 10,,Henry Silberhorn,W. H. Sajewski,"1017 Milwaukee Ave., Chicago, Ill.",W. H. Sajewski,1927,print,195_od-ucha_print.pdf,,
196,Shuffle Off to Buffalo,,,G major,2/2,foxtrot,,,,,,,,pen,196_off-to-buffalo_pen.pdf,,
197,Oh! Oaken Leaf,,2288,C major,3/4,waltz,,Louis Vitak,,,,,,print,197_oh-oaken-leaf-fragment_print.pdf,"Fragment, bottom staves missing",
198,Olympia,,,D major,3/4,mazurka,,,,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,198_olympia_print.pdf,,
199,On Treasure Island,,196,G major,2/2,foxtrot,,"Joe Burke, Edgar Leslie",Joseph P. Elsnic,Vitak-Elsnic Co.,"4815 S. Ashland Ave., Chicago, Ill.",Joe Morris Music Co.,1935,print,199_on-treasure-island_print.pdf,,
200,Opera Z Kantowa,Opera from Kantów,2876,D major,3/4,,,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",,,print,200_opera-z-kantowa-fragment_print.pdf,Fragment,
201,Originalna Polka Pogotowie,Original First-Aid Polka,,D major,2/4,polka,,,W. Adeszko,W.H. Sajewski,"1011 Milwaukee Ave., Chicago, Ill.",W.H. Sajewski,1911,print,201_orignalna-polka_print.pdf,"Title is unclear, likely intended to be humorous",
202,Over Somebody Else's Shoulder,,174,D major,2/2,foxtrot,,"Al Lewis, Al Sherman",Joseph P. Elsnic,Vitak-Elsnic Co.,"Chicago, Ill.","Donaldson, Douglas & Gumble, Inc.",1934,print,202_over-somebody-elses_print.pdf,,
203,Paradise,,8565,D major,3/4,waltz,"""A Woman Commands"" (RKO silent film)",Hacio Herb Brown & Gordon Clifford,Henry Silberhorn,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.","Hacio Herb Brown, Inc.",1931,print,203_paradise-waltz_print.pdf,,
205,Pennies From Heaven,,247,G major,2/2,foxtrot,"""Pennies From Heaven"" (movie)",Arthur Johnston,Joseph P. Elsnic,Vitak-Elsnic Co.,"Chicago, Ill.","Select Music Publications, Inc",1936,print,205_pennies-from-heaven_print.pdf,,
206,Piesczotka Polka,Sweetheart Polka,,C major,2/4,polka,V+E Polish Dance Collection no. 5,,Louis Vitak,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,206_pieszczotka-polka_print.pdf,,
207,Pieszczotka,Sweetheart Polka,15031,A major,2/4,polka,,,Sta. Sobas,John Sitek,,,,print,207_pieszczotka_print.pdf,,
208,Please,,8588,G major,2/2,foxtrot,,Leo Robin & Ralph Rainger,Frank F. Schmidt,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",Famous Music Corp.,1932,print,208_please-fox-trot_print.pdf,,
209,Po Balu,After the Ball,2022,D major,3/4,waltz,,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",,,print,209_po-balu_print.pdf,"Subtitle ""Do Wuja Starca"" means ""To the old uncle""",
210,Po Naszemu Polka,In Our Way Polka,,G major,2/4,polka,,,,,,,,pen,210_po-naszemu_pen.pdf,,
211,Po Staremu,In the Old Way,9591,D major,2/4,polka,,,Rudy Patek,Patek's Music Store,"835 Milwaukee Ave., Chicago, Ill.",Patek's Music Store,1928,print,211_po-staremu_print.pdf,,
212,Pod Zielonym Dębem,Under the Green Oak,,D major,2/4,polka,V+E Polish Dance Collection no. 4,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",,,print,212_pod-zielonym_print.pdf,,
213,Podhalanka Polka,Highlander Polka,15055,D major,2/4,polka,,,Ed. Czmiel,John Sitek,,John Sitek,1932,print,213_podhalanka-polka_print.pdf,,
214,Pognała Wołki,She Drove the Little Oxen,,G major,2/4,polka,,,W. Najder,,,W.H. Sajewski,1925,pen,214_pognata-wotki_pen.pdf,,
215,Pogotowie Polka,Emergency Polka,,D major,2/4,polka,,,Rudy Patek,Patek's Music Store,"835 Milwaukee Ave., Chicago, Ill.",,,print,215_pogotowie_print.pdf,,
217,Polka Oficerska,Officer's Polka,,D major,2/4,polka,,,,,,,,pen,217_polka-oficerska_pen.pdf,,
218,Polka W Szafliku No.2,Pail Polka No. 2,,A major,2/4,polka,V+E Polish Dance Collection no. 5,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",,,print,218_polka-w-szafliku-2_print.pdf,,
219,Polka Wrzbickiego,Wrzbicki’s Polka,2681,D major,2/4,polka,V+E Polish Dance Collection no. 5,Frank Dukli,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1928,print,219_polka-wrzbickiego_print.pdf,,
220,Polka Z Debowca,Polka from Dębowiec,2663,G major,3/4,polka,V+E Polish Dance Collection no. 5,Fr. Dukli,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1927,print,220_polka-z-debowca_print.pdf,Unusual that this 3/4 piece is labeled as polka,
221,Pomaluśku Nawracaicie,You Turn Slowly,2689,D major,3/4,oberek,V+E Polish Dance Collection no. 5,Fr. Dukli,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1928,print,221_pomalusku-nawracaicie_print.pdf,,
222,Rach Ciach Ciach,Snap Crack Crack,6026,A major,2/4,polka,,,,Patek's Music Store,"Chicago, Ill.",,,print,222_rach-ciach_print.pdf,,
223,Rain,,8668,G major,2/2,foxtrot,,Billy Hill & Peter De Rose,Frank F. Schmidt,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.","Shapiro, Bernstein & Co.",1934,print,223_rain-fox-trot_print.pdf,,
224,Repasz Band,,5037,D major,6/8,march & two step,,,,Patek's Music Store,"835 Milwaukee Ave., Chicago, Ill.",Vandersloot Music Co.,1904,print,224_repasz-band-pateks_print.pdf,,
225,Repasz Band,,5037,D major,6/8,march & two step,,,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",Vandersloot Music Co.,1912,print,225_repasz-band_print.pdf,"Dynamic marking ""ff"", Same arrangement, older copyright, different publisher cf ID#224",
226,Roll Along Prairie Moon,,192,D major,2/2,foxtrot,,"Ted Fiorito, Harry Mac Pherson, Albert Von Tilzer",Joseph P. Elsnic,Vitak-Elsnic Co.,"Chicago, Ill.",Metro-Goldwyn-Mayer,1935,print,226_roll-along-prairie_print.pdf,"Tempo marking: ""Slowly (with feeling)""",
227,Rose Waltz,,1319,D major,3/4,waltz,,,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",,,print,227_rose-waltz_print.pdf,,
228,Rozalien-Polka,,2158,D major,2/4,polka,G&V Polish Dance Collection,A. Bielech,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1923,print,228_rozalien_print.pdf,,
229,Roztargniony Walec,Scatterbrained Waltz,,G major,3/4,waltz,,A. Karasinski,W. Adeszko,W.H. Sajewski,"1011 Milwaukee Ave., Chicago, Ill.",,,print,229_roztargniony-walec_print.pdf,,
231,Secita-Polka,,6521,G major,2/4,polka,,,,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,231_secita_print.pdf,,
232,Sleepy Head,,8654,G major,2/2,foxtrot,"""Operator 13"" (movie)",Gus Kahn and Walter Donaldson,Frank F. Schmidt,Henry Silberhorn,"521 Milwaukee Ave., Chicago, Ill.",Metro-Goldwyn-Mayer Corp.,1934,print,232_sleepy-head_print.pdf,,
233,Słowik Polka,Nightingale Polka,,D major,2/4,polka,V+E Polish Dance Collection no. 5,,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",,,print,233_slowik-polka_print.pdf,,
234,Słowik Polka,Nightingale Polka,2500,D major,2/4,polka,,,,Georgi & Vitak Music Co.,"Chicago, Ill.",,,print,234_slowik_print.pdf,,
235,Smutna Dziewczyna,Sad Girl,2684,D major,2/4,polka,,Fr. Dukli,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1928,pen,235_smutna-dziewczyna_pen.pdf,,
236,Smutna Dziewczyna Polka,Sad Girl,2684,D major,2/4,polka,V+E Polish Dance Collection no. 5,Fr. Dukli,Louis Vitak,Vitak-Elsnic Co.,"Chicago, Ill.",Vitak-Elsnic Co.,1928,print,236_smutna-dziewczyna_print.pdf,,
237,Some Of These Days,,9619,E minor,2/2,foxtrot,,,Henry Schuckert,Patek's Music Co.,"835 Milwaukee Ave., Chicago, Ill.",Will Rossiter,1922,print,237_some-of-these-days-2_print.pdf,,
238,Some Of These Days,,9619,E minor,2/2,foxtrot,,,Henry Schuckert,Patek's Music Co.,"835 Milwaukee Ave., Chicago, Ill.",Will Rossiter,1922,print,238_some-of-these-days_print.pdf,"Alternate print of ID#237 by same publisher, same arrangement",
239,Somebody Loves You,,,D major,2/2,foxtrot,,,,,,,,pen,239_somebody-loves-you_pen.pdf,,
240,South Side Galop No. 1,,,G major,2/4,galop,,,Rudy Patek,Patek's Music Store,"Chicago, Ill.",,,print,240_south-side-galop_print.pdf,,
241,Spary,,,C major,2/4,polka,,,Joe Skitz,,,,,print,241_spary-polka_print.pdf,"Title unclear, ""spary"" has no clear meanings in Polish, German, or Lithuanian",
242,Sporki Wojskowe,Little Skirmishes,127,D major,2/4,,,,W. Najder,W. Najder,"Chicago, Ill.",,,print,242_sporki-wojskowe_print.pdf,Includes cornet part for cornet in A (melody in F major),
243,When It's Springtime In The Rockies,,110,D major,3/4,waltz,,"Robert Sauer, Milt Taggart",Joseph P. Elsnic,Vitak-Elsnic Co.,"Chicago, Ill.","Villa Moret, Inc.",1929,print,243_springtime-in-the-rockies-fragment_print.pdf,,
244,Sprzedał Woły Na Yarmarku,He Sold Oxen at the Fair,,D major,3/4,oberek,,,W. Adeszko,W.H. Sajewski,"Chicago, Ill.",W.H. Sajewski,1911,print,244_sprzedal-woly-na-fragment_print.pdf,Fragment- significant wear around bottom and right side,
245,Sweet Bunch Of Daisies,,180,D major,3/4,waltz,,,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",,,print,245_sweet-bunch-of-daisies_print.pdf,,
246,Sweethearts Waltz,,2514,D major,3/4,waltz,,,Henry Silberhorn,Henry Silberhorn,"Chicago, Ill.",Henry Silberhorn,1914,print,246_sweethearts-waltz_print.pdf,"Rare ""p"" dynamic marking",
